Wahlkreisnr.;Wahlkreisname;Wahlberechtigte insgesamt;Wähler/-innen insgesamt;Ungültige Stimmen Erststimmen;Ungültige Stimmen Zweitstimmen;Gültige Stimmen Erststimmen;Gültige Stimmen Zweitstimmen;SPD Erststimmen;SPD Zweitstimmen;CDU Erststimmen;CDU Zweitstimmen;GRÜNE Erststimmen;GRÜNE Zweitstimmen;FDP Erststimmen;FDP Zweitstimmen;PIRATEN Erststimmen;PIRATEN Zweitstimmen;DIE LINKE Erststimmen;DIE LINKE Zweitstimmen;NPD Erststimmen;NPD Zweitstimmen;Die PARTEI Erststimmen;Die PARTEI Zweitstimmen;FREIE WÄHLER Erststimmen;FREIE WÄHLER Zweitstimmen;BIG Erststimmen;BIG Zweitstimmen;FBI/FWG Erststimmen;FBI/FWG Zweitstimmen;ÖDP Erststimmen;ÖDP Zweitstimmen;Volksabstimmung Erststimmen;Volksabstimmung Zweitstimmen;TIERSCHUTZliste Erststimmen;TIERSCHUTZliste Zweitstimmen;AD-Demokraten NRW Erststimmen;AD-Demokraten NRW Zweitstimmen;AfD Erststimmen;AfD Zweitstimmen;AUFBRUCH C Erststimmen;AUFBRUCH C Zweitstimmen;BGE Erststimmen;BGE Zweitstimmen;DBD Erststimmen;DBD Zweitstimmen;DKP Erststimmen;DKP Zweitstimmen;ZENTRUM Erststimmen;ZENTRUM Zweitstimmen;DIE RECHTE Erststimmen;DIE RECHTE Zweitstimmen;REP Erststimmen;REP Zweitstimmen;DIE VIOLETTEN Erststimmen;DIE VIOLETTEN Zweitstimmen;JED Erststimmen;JED Zweitstimmen;MLPD Erststimmen;MLPD Zweitstimmen;PAN Erststimmen;PAN Zweitstimmen;Gesundheitsforschung Erststimmen;Gesundheitsforschung Zweitstimmen;PARTEILOSE WG „BRD“ Erststimmen;PARTEILOSE WG „BRD“ Zweitstimmen;Schöner Leben Erststimmen;Schöner Leben Zweitstimmen;V-Partei³ Erststimmen;V-Partei³ Zweitstimmen;FAMILIE Erststimmen;FAMILIE Zweitstimmen;LD Erststimmen;LD Zweitstimmen;LKR Erststimmen;LKR Zweitstimmen;Einzelbewerber/-in 1 Erststimmen;Einzelbewerber/-in 1 Zweitstimmen;Einzelbewerber/-in 2 Erststimmen;Einzelbewerber/-in 2 Zweitstimmen;Einzelbewerber/-innen Erststimmen;Einzelbewerber/-innen Zweitstimmen;Sonstige Erststimmen;Sonstige Zweitstimmen
049;Mönchengladbach I;100000;57465;960;687;56505;56778;18886;16536;21367;19059;3543;3143;4749;7437;915;598;3251;3060;;216;;398;;196;;128;;30;;84;;44;;454;;160;3794;4656;;32;;31;;35;;15;;18;;9;;49;;55;;51;;47;;6;;54;;17;;35;;125;;;;;;;;;;;;;;;
050;Mönchengladbach II;90503;55716;755;664;54961;55052;15146;14321;24170;20942;3141;2877;5714;7748;909;578;2768;2660;;281;;426;;176;;63;;25;;59;;52;;435;;65;3113;3799;;16;;45;;39;;11;;27;;13;;37;;47;;46;;46;;3;;41;;10;;38;;126;;;;;;;;;;;;;;;
051;Viersen I;110898;71471;873;706;70598;70765;19220;19242;31551;26763;5059;3872;6859;10770;1096;641;2936;2783;;279;;401;;237;;69;;19;;79;;60;;597;;88;3402;4249;;27;;42;;31;;24;;34;;20;;29;;48;;60;;63;;14;;55;;32;;45;;92;;;;;;;475;;;;;;;;
052;Viersen II;93761;63094;786;687;62308;62407;17965;16921;28509;24274;3130;3185;6833;9962;879;524;2122;2133;;210;;274;;237;;34;;8;;50;;56;;450;;64;2870;3606;;45;;25;;21;;11;;11;;10;;22;;51;;40;;20;;12;;40;;23;;25;;63;;;;;;;;;;;;;;;
053;Kleve I;113816;76828;936;690;75892;76138;20435;19503;38037;33472;4405;3599;6569;10198;1159;691;2020;2365;;228;;304;;310;;17;;22;;86;;65;;498;;26;3267;4216;;25;;28;;29;;10;;25;;24;;42;;59;;64;;35;;16;;43;;17;;36;;85;;;;;;;;;;;;;;;
054;Kleve II;112751;70320;1048;742;69272;69578;21732;20770;30762;27673;3721;3631;6327;8728;900;523;2741;2432;;207;;267;;197;;46;;16;;81;;44;;455;;15;3089;4023;;11;;36;;33;;9;;19;;17;;35;;55;;58;;35;;12;;32;;13;;28;;77;;;;;;;;;;;;;;;
055;Oberhausen I;89890;53468;1079;818;52389;52650;21676;20424;15028;13079;1853;2063;3291;4244;1191;667;3957;3375;;327;;448;;172;;184;;16;;58;;58;;496;;117;4910;6254;;28;;23;;37;;21;;31;;18;;67;;119;;48;;62;;8;;52;;21;;36;;97;;;;;;;483;;;;;;;;
056;Oberhausen II – Wesel I;115123;76995;1215;879;75780;76116;31637;29394;23260;20599;3542;3569;5670;7695;1447;696;4451;3855;;381;;446;;293;;226;;21;;73;;68;;648;;148;5773;7249;;26;;22;;49;;12;;41;;30;;66;;99;;68;;81;;16;;70;;33;;62;;80;;;;;;;;;;;;;;;
057;Wesel II;90954;60635;771;695;59864;59940;23022;20350;22010;20355;2990;2961;4568;6805;645;502;2425;2525;;226;573;355;;220;;58;;58;;64;;69;;439;;89;3631;4318;;25;;30;;29;;14;;17;;26;;54;;28;;54;;53;;13;;48;;11;;56;;88;;;;;;;;;;;;;;;
058;Wesel III;120162;82347;889;777;81458;81570;30029;27721;32058;27027;3428;3979;6403;9958;1216;737;3745;3552;;305;;383;;286;;149;;46;;87;;89;;611;;78;4579;5856;;41;;40;;46;;22;;31;;21;;63;;67;;56;;66;;16;;76;;8;;64;;89;;;;;;;;;;;;;;;
059;Wesel IV;87049;58066;1372;720;56694;57346;23926;21360;19639;16130;2464;2682;5111;6361;2040;628;3514;2885;;278;;358;;256;;145;;26;;51;;72;;461;;107;;4978;;23;;22;;38;;28;;24;;30;;64;;42;;36;;85;;6;;45;;17;;48;;60;;;;;;;;;;;;;;;
060;Duisburg I;88495;58404;852;687;57552;57717;23089;20897;17008;15325;2917;3168;4526;6165;809;545;3381;3410;;255;1009;572;;246;;188;;15;;75;;68;;520;;216;4813;5390;;27;;33;;57;;39;;30;;19;;71;;57;;46;;84;;10;;40;;24;;38;;87;;;;;;;;;;;;;;;
061;Duisburg II;82220;50050;878;670;49172;49380;21034;19033;13630;11936;2071;2391;3813;4905;1133;612;3057;2656;;314;;396;;230;;199;;14;;41;;37;;485;;210;4434;5282;;25;;36;;44;;15;;27;;22;;58;;39;;58;;118;;5;;42;;14;;40;;96;;;;;;;;;;;;;;;
062;Duisburg III;80490;42734;915;674;41819;42060;16966;15769;9538;8708;2496;2336;3059;3670;838;507;3345;3109;;336;986;606;;168;;348;;19;;36;;49;;361;;440;4591;5017;;27;;39;;36;;29;;21;;34;;47;;45;;43;;96;;7;;35;;16;;37;;69;;;;;;;;;;;;;;;
063;Duisburg IV – Wesel V;84395;45661;1017;750;44644;44911;18588;17223;10674;9813;1691;1707;3037;3684;798;440;2522;2383;;426;;295;859;400;;345;;10;;42;;56;;455;;491;6274;6552;;32;;16;;27;;16;;22;;33;;54;;30;;37;201;169;;5;;52;;11;;36;;49;;;;;;;;;;;;;;;
064;Mülheim I;120297;83094;1117;951;81977;82143;35842;28642;24685;22446;3640;5119;8092;11239;;693;3995;4032;;247;;500;;230;;216;;17;;69;;80;;623;;104;5723;7084;;40;;46;;38;;34;;26;;12;;65;;124;;53;;118;;10;;45;;23;;62;;106;;;;;;;;;;;;;;;
065;Essen I – Mülheim II;104272;61907;862;749;61045;61158;27737;23595;15450;14873;2196;2468;4085;5798;;557;3090;2893;;381;;461;;207;;213;;26;;58;;74;;573;;139;8147;8020;;39;;27;;48;142;97;;38;;38;;88;;37;;59;198;128;;8;;47;;12;;93;;63;;;;;;;;;;;;;;;
066;Essen II;109689;66009;1044;779;64965;65230;25920;23139;19477;17581;3195;3199;5367;6409;;622;3419;3330;;379;;561;;243;;236;;29;;71;;72;;653;;98;7403;7810;;35;;41;;42;184;81;;32;;32;;91;;52;;52;;98;;18;;61;;14;;69;;80;;;;;;;;;;;;;;;
067;Essen III;104181;64517;744;592;63773;63925;22561;20183;19075;16535;4335;5124;5541;7747;;705;4282;4863;;237;1538;961;;246;;170;;27;;102;;40;;570;;110;5185;5332;;103;;78;;35;165;85;;32;;22;;40;;63;;53;206;163;;8;;37;;20;;113;;121;;;;;;;285;;600;;;;;;
068;Essen IV;105672;78404;659;866;77745;77538;25484;22463;29698;25208;5266;5859;7831;11986;;538;3478;3925;;141;1272;685;;194;;36;;22;;99;;50;;505;;41;4611;5066;;41;;51;;40;105;47;;23;;15;;41;;66;;47;;53;;12;;44;;11;;81;;148;;;;;;;;;;;;;;;
069;Recklinghausen I;88259;55659;881;608;54778;55051;20984;19868;18056;15570;2456;2563;4315;5617;990;561;3260;2777;;235;;360;;210;;192;;20;;44;;65;;497;;162;4637;5694;;26;;36;;48;80;30;;19;;12;;61;;44;;33;;109;;9;;63;;26;;34;;66;;;;;;;;;;;;;;;
070;Recklinghausen II;95160;58757;1154;724;57603;58033;22887;22278;17611;15748;2143;2123;4593;5551;1110;631;2965;2555;;298;;265;;173;;134;;16;;41;;51;;533;;367;5562;6408;;37;;31;;75;99;33;;21;;37;;66;;54;;37;;91;;14;;46;633;230;;31;;58;;;;;;;;;;;;;;;
071;Recklinghausen III;93570;59464;978;720;58486;58744;23822;21575;19301;17243;1704;2160;4035;5843;1103;560;3082;2640;;260;;271;;177;;167;;12;;57;;59;;470;;240;5263;6389;;25;;26;;40;103;67;;17;;27;;75;;49;;42;73;69;;12;;56;;16;;37;;63;;;;;;;;;;;;;;;
072;Recklinghausen IV;102634;69003;1552;672;67451;68331;24536;23275;27755;23361;3235;3074;6229;7140;2057;672;3639;2803;;278;;319;;243;;56;;14;;63;;67;;521;;149;;5727;;16;;28;;40;;14;;35;;32;;72;;51;;55;;37;;10;;57;;31;;46;;45;;;;;;;;;;;;;;;
073;Recklinghausen V;93457;57759;1468;620;56291;57139;24666;22115;18128;15969;2626;2537;5127;5460;1971;573;3773;2715;;310;;390;;247;;97;;38;;53;;78;;458;;159;;5354;;18;;33;;43;;13;;17;;52;;62;;40;;47;;59;;13;;75;;20;;35;;59;;;;;;;;;;;;;;;
074;Gelsenkirchen I;96810;58453;1108;854;57345;57599;24632;22006;14154;13597;2146;2174;5510;5544;;494;2883;2713;;316;;374;;214;;200;;27;;48;;62;;565;;292;7574;8128;;37;;32;;45;104;37;;18;;35;;100;;75;;37;342;243;;9;;67;;17;;31;;62;;;;;;;;;;;;;;;
075;Gelsenkirchen II;79860;44048;952;607;43096;43441;18350;16272;11046;9665;1565;1736;3013;3715;;444;2657;2344;;243;;298;;174;;414;;9;;39;;61;;458;;205;6003;6611;;21;;43;;28;;18;;12;;36;;84;;57;;32;462;251;;9;;49;;16;;37;;60;;;;;;;;;;;;;;;
076;Bottrop;88445;59057;775;711;58282;58346;23730;22215;17839;16031;2158;2291;3792;5545;755;473;2364;2517;;282;;301;;145;;136;;6;854;404;;48;;529;;136;5992;6422;;16;;26;;38;709;341;;19;;38;;67;;46;;44;89;62;;13;;43;;15;;35;;62;;;;;;;;;;;;;;;
077;Borken I;109939;74929;1165;695;73764;74234;21906;20770;39028;33686;3409;3758;4926;8361;997;493;2163;1851;;179;;195;1335;371;;23;;16;;81;;52;;342;;34;;3521;;32;;21;;25;;8;;21;;11;;36;;40;;74;;48;;10;;77;;9;;27;;62;;;;;;;;;;;;;;;
078;Borken II;110254;74218;872;719;73346;73499;19096;19104;41329;35845;2797;3043;5086;8395;;556;2027;1926;;187;;245;;182;;44;;19;;53;;39;;286;;70;3011;3094;;27;;15;;33;;22;;35;;15;;22;;35;;50;;29;;7;;43;;13;;17;;48;;;;;;;;;;;;;;;
079;Coesfeld I – Borken III;112828;81514;942;729;80572;80785;20869;20577;41814;37761;5558;4625;7402;10208;;558;1999;2022;;133;;277;;246;;12;;13;;117;;54;;359;;9;2639;3371;;21;;25;;31;;9;;26;;13;;27;;56;;68;;35;;2;;45;;18;;17;;50;291;;;;;;;;;;;;;;
080;Coesfeld II;117194;83298;1415;711;81883;82587;24918;22712;40584;35352;4869;4639;8010;10619;;630;3502;2576;;209;;292;;215;;22;;31;;91;;43;;398;;32;;4154;;25;;28;;56;;9;;27;;30;;42;;55;;67;;40;;7;;61;;17;;39;;69;;;;;;;;;;;;;;;
081;Steinfurt I;114692;79115;962;702;78153;78413;21226;22378;41654;33772;5247;4837;5594;8816;1339;616;3093;2607;;182;;336;;328;;45;;24;;90;;49;;367;;47;;3401;;27;;31;;20;;8;;26;;12;;25;;47;;139;;33;;11;;37;;7;;25;;70;;;;;;;;;;;;;;;
082;Steinfurt II;111078;72026;640;651;71386;71375;23258;22034;33141;29569;3217;3764;5234;7542;858;552;3120;2605;;172;;276;;206;;33;;21;;67;;52;;338;;34;2558;3244;;21;;27;;23;;5;;17;;5;;21;;42;;559;;34;;6;;28;;10;;32;;36;;;;;;;;;;;;;;;
083;Steinfurt III;113415;72297;676;652;71621;71645;29140;27113;28439;25705;3620;4277;4280;6745;622;439;2912;2492;;174;;238;;167;;106;;17;;71;;49;;349;;33;2608;3318;;20;;18;;15;;11;;14;;7;;16;;30;;84;;22;;6;;29;;8;;28;;44;;;;;;;;;;;;;;;
084;Münster I;117164;85921;712;516;85209;85405;26434;23421;31707;26699;11342;11193;6765;11994;1081;804;4734;5920;;58;;729;;210;;36;;11;597;389;;39;;312;;23;2408;2934;;45;;46;;24;141;48;;21;;5;;14;;67;;99;;54;;1;;28;;9;;37;;135;;;;;;;;;;;;;;;
085;Münster II;114590;81362;594;508;80768;80854;26671;22943;30311;25944;8379;9528;6079;10493;1232;846;4719;5515;;80;;711;;211;;33;;18;458;315;;35;;333;;24;2778;3214;;35;;40;;25;141;59;;24;;6;;23;;61;;83;;53;;6;;41;;4;;39;;112;;;;;;;;;;;;;;;
086;Warendorf I;112475;78818;1164;947;77654;77871;21545;21576;37360;32854;5306;4921;5853;9649;;548;2252;2455;;195;809;384;;387;;52;;59;;85;;45;;306;;108;3306;3780;;77;;33;;21;;8;;21;;15;;27;;44;;57;;23;;8;;28;;15;;24;;66;;;;;;;968;;255;;;;;;
087;Warendorf II;96997;63659;1000;779;62659;62880;21818;20670;28091;24062;2641;2963;4264;6895;;475;2634;2219;;177;;224;;246;;94;;34;;57;;33;;311;;147;3211;3847;;53;;26;;28;;6;;22;;13;;36;;32;;48;;29;;6;;32;;10;;27;;58;;;;;;;;;;;;;;;
088;Minden-Lübbecke I;114317;70757;909;813;69848;69944;25610;24093;30391;25553;2765;3433;4249;7061;856;534;2357;2410;;202;;361;;268;;49;;15;;72;;50;;336;;47;3620;4845;;206;;36;;26;;10;;9;;20;;34;;53;;49;;22;;12;;49;;12;;25;;52;;;;;;;;;;;;;;;
089;Minden-Lübbecke II;89671;53904;721;595;53183;53309;22689;20616;17396;14700;2916;3502;3817;5791;782;516;2406;2578;;148;;307;;138;;37;;16;;60;;49;;298;;23;3177;4012;;128;;22;;16;;20;;13;;17;;51;;37;;36;;35;;2;;37;;6;;33;;65;;;;;;;;;;;;;;;
090;Herford I – Minden-Lübbecke III;113696;69205;890;713;68315;68492;26904;23716;24787;21893;3982;4336;4821;7370;1047;627;2806;3085;;193;;274;;235;;84;;22;;72;;89;;405;;81;3968;5303;;224;;31;;27;;10;;22;;16;;50;;54;;52;;37;;11;;49;;14;;33;;77;;;;;;;;;;;;;;;
091;Herford II – Minden-Lübbecke IV;115763;70177;1042;859;69135;69318;29143;26079;24119;21275;3262;4106;4740;6864;951;595;2918;2837;;216;;296;;291;;83;;7;;71;;54;;468;;60;4002;5332;;235;;27;;31;;6;;15;;24;;36;;58;;38;;28;;12;;64;;19;;29;;62;;;;;;;;;;;;;;;
092;Bielefeld I;93704;62414;786;583;61628;61831;24688;19422;14336;13469;6823;8605;4613;6509;1123;844;6361;7344;;103;947;724;;173;;198;;20;;100;;44;;326;;65;2684;3066;;98;;92;;32;;44;;15;53;48;;26;;90;;61;;140;;3;;31;;5;;41;;93;;;;;;;;;;;;;;;
093;Bielefeld II;111970;69002;1225;983;67777;68019;25487;22741;23958;20529;3223;4227;4959;7229;1231;711;4089;4047;;241;;345;;201;;376;;29;;64;;81;;419;;138;4656;5835;;305;;32;;31;;10;;25;;22;;38;;62;;54;;52;;12;;40;;12;;39;;72;;;;;;;174;;;;;;;;
094;Gütersloh I – Bielefeld III;94051;64106;1029;539;63077;63567;23784;21066;23571;19769;4979;5481;5785;7922;1375;548;3583;3150;;148;;327;;175;;122;;14;;119;;42;;383;;41;;3725;;90;;44;;30;;8;;13;;18;;34;;43;;65;;34;;5;;43;;18;;32;;58;;;;;;;;;;;;;;;
095;Gütersloh II;100562;63155;801;668;62354;62487;21490;19891;26445;22059;4669;4651;3535;6896;866;513;2388;2496;;215;;241;;203;;104;;21;;120;;54;;329;;150;2961;4000;;78;;35;;23;;16;;21;;22;;28;;64;;52;;39;;9;;42;;12;;34;;69;;;;;;;;;;;;;;;
096;Gütersloh III;99572;66213;919;734;65294;65479;15271;16953;36123;28864;3636;3591;4632;8022;887;519;1952;1984;;164;;238;;339;;103;;40;;80;;43;;329;;65;2684;3603;;101;;32;;30;;4;;25;;29;;44;;41;;42;;32;;5;;51;;20;;33;;53;;;;;;;109;;;;;;;;
097;Lippe I;92871;59842;906;647;58936;59195;20990;19766;20742;17679;3186;3393;5503;7410;936;510;2297;2264;;170;;227;;531;;73;;29;;51;;36;;371;;35;4017;4933;1265;1322;;20;;25;;10;;13;;16;;43;;45;;45;;25;;5;;44;;20;;26;;58;;;;;;;;;;;;;;;
098;Lippe II;85664;54385;853;683;53532;53702;20990;19947;18249;16208;3020;3129;4993;5808;798;538;2050;2073;;192;;244;;292;;80;;22;;43;;39;;327;;28;2851;3688;581;678;;24;;23;;8;;11;;14;;32;;35;;45;;22;;8;;40;;14;;39;;51;;;;;;;;;;;;;;;
099;Lippe III;90649;56995;1006;657;55989;56338;22920;20139;17701;16163;3488;3667;4130;6273;841;494;2690;2778;;162;;251;;332;;142;;46;;85;;37;;334;;21;3146;3851;1073;1201;;40;;32;;4;;9;;11;;25;;37;;34;;32;;8;;33;;10;;33;;54;;;;;;;;;;;;;;;
100;Paderborn I;119232;79096;1233;896;77863;78200;17209;17271;43812;37856;3606;3676;5307;9228;1014;534;2991;2657;;231;;255;;204;;32;;74;;64;;64;;351;;22;3924;5100;;108;;29;;22;;8;;25;;14;;41;;40;;39;;13;;60;;42;;20;;51;;69;;;;;;;;;;;;;;;
101;Paderborn II;109681;67819;886;681;66933;67138;16634;16319;29762;25422;5767;5174;5556;8047;1198;817;4083;4058;;147;;427;;217;;145;;157;;119;;60;;328;;43;3933;4863;;163;;56;;34;;14;;25;;10;;32;;46;;71;;33;;123;;44;;9;;39;;96;;;;;;;;;;;;;;;
102;Höxter;112910;74166;1035;871;73131;73295;20105;19368;37178;33293;3036;3190;5108;8026;760;550;2125;2354;;209;;218;;211;;57;;24;632;282;;44;;319;;31;4187;4651;;58;;27;;22;;9;;32;;19;;39;;45;;43;;13;;16;;45;;16;;29;;55;;;;;;;;;;;;;;;
103;Hagen I;100326;60878;987;604;59891;60274;23612;20564;20439;18105;2247;2680;4780;6847;1147;603;2847;2780;;261;;339;;188;;362;;15;;62;;67;;614;;180;4819;5946;;34;;24;;24;;18;;25;;33;;79;;69;;45;;123;;11;;63;;9;;38;;66;;;;;;;;;;;;;;;
104;Hagen II – Ennepe-Ruhr-Kreis III;86087;54361;1343;571;53018;53790;22796;19395;18003;15303;2263;2596;5379;6486;1673;494;2904;2260;;276;;294;;298;;117;;18;;74;;68;;477;;77;;4965;;79;;20;;36;;19;;20;;22;;72;;45;;37;;76;;9;;49;;14;;29;;65;;;;;;;;;;;;;;;
105;Ennepe-Ruhr-Kreis I;106861;72341;1232;804;71109;71537;28131;25089;22562;20659;4357;4318;6983;9219;1429;787;3517;3469;;244;;456;;241;;145;;17;;113;;59;;599;;91;4130;5364;;54;;34;;39;;41;;18;;24;;64;;74;;62;;81;;3;;48;;14;;40;;71;;;;;;;;;;;;;;;
106;Ennepe-Ruhr-Kreis II;93130;61428;962;663;60466;60765;24022;22405;15657;14999;5315;4505;5650;7109;2208;1037;3534;3568;;208;;456;;183;;98;;14;;80;;74;;589;;62;3676;4663;;39;;89;;30;;29;;20;;35;;30;;65;;50;196;129;;13;;54;;25;;35;;72;;;;;;;208;;;;;;;;
107;Bochum I;100980;64783;937;823;63846;63960;27303;23552;16390;15065;3761;4521;4512;5987;1256;848;5458;4999;;310;;621;;256;;103;;19;;126;;61;;618;;105;5166;6015;;36;;50;;36;;27;;28;;42;;55;;60;;61;;145;;9;;52;;10;;50;;93;;;;;;;;;;;;;;;
108;Bochum II;95763;68333;788;620;67545;67713;25327;22458;21497;18975;4907;5466;5986;8109;1298;707;4778;4772;;199;;604;;206;;117;;34;;168;;60;;520;;57;3752;4622;;49;;44;;26;;26;;16;;25;;31;;44;;48;;113;;8;;46;;12;;62;;89;;;;;;;;;;;;;;;
109;Bochum III – Herne II;101266;60754;1058;781;59696;59973;24800;22149;15966;14268;3072;3505;4315;5454;1358;762;4463;4153;;376;;588;;249;;377;;28;;77;;80;;558;;172;5558;6443;;42;;38;;31;;11;;28;;40;;76;;49;;57;164;139;;13;;51;;13;;56;;90;;;;;;;;;;;;;;;
110;Herne I;88375;52018;1642;692;50376;51326;23551;20250;14038;12056;2268;2416;4701;4776;2126;778;3450;2749;;271;;319;;159;;335;;21;;45;;61;;513;;149;;5750;;35;;30;;26;;9;;26;;28;;112;;45;;46;242;134;;13;;49;;19;;28;;78;;;;;;;;;;;;;;;
111;Dortmund I;90134;54391;695;557;53696;53834;21417;20129;12827;11153;4962;4622;3629;4554;1271;743;4480;4375;;303;;753;;216;;207;;24;;71;;65;;475;;187;4497;4886;;24;;43;;78;;52;;17;415;382;;38;;59;;56;198;160;;9;;39;;5;;37;;72;;;;;;;;;;;;;;;
112;Dortmund II;87567;51142;993;514;50149;50628;19632;17787;13538;11096;4407;4443;3962;5037;1347;747;4466;4401;;191;1657;808;;172;;434;;27;;82;;65;;404;;206;;3952;;27;;53;;81;;47;;6;1020;196;;30;;38;;44;120;78;;7;;36;;5;;56;;72;;;;;;;;;;;;;;;
113;Dortmund III;117173;72868;830;764;72038;72104;31470;28389;20627;18518;3369;4176;5510;7201;1266;856;4143;3844;;316;;483;;267;;142;;42;;58;;81;;624;;125;5424;6205;;30;;31;;89;;25;;25;229;173;;47;;58;;48;;45;;16;;45;;11;;42;;92;;;;;;;;;;;;;;;
114;Dortmund IV;120465;79157;804;627;78353;78530;30210;27731;25083;21283;5162;5394;6527;9433;1597;950;4363;4509;;296;;651;;277;;136;;42;;103;;73;;690;;114;5140;5841;;55;;54;;96;;31;;35;271;242;;56;;53;;74;;74;;9;;55;;10;;55;;108;;;;;;;;;;;;;;;
115;Unna I;114187;77690;869;713;76821;76977;30480;28115;24635;21789;4993;5028;6947;9233;1434;851;3777;3550;;282;;581;;370;;77;;22;;86;;108;;704;;70;4555;5524;;39;;37;;61;;8;;24;;35;;57;;64;;44;;28;;8;;64;;7;;34;;77;;;;;;;;;;;;;;;
116;Unna II;108778;68208;867;750;67341;67458;28149;25275;21296;19753;2913;3081;5415;6656;1265;773;3173;2925;;448;;339;;352;;222;;24;;65;;87;;627;;196;5130;5940;;37;;35;;146;;22;;26;;56;;60;;48;;45;;80;;6;;50;;11;;25;;48;;;;;;;;;;;;;;;
117;Unna III – Hamm II;96678;61200;884;630;60316;60570;29399;26999;16026;14093;3476;2940;4015;5085;;684;2963;2651;;368;;300;;312;;337;;18;;47;;75;;595;;158;4437;5348;;34;;25;;46;;21;;19;;44;;78;;53;;57;;41;;5;;63;;7;;18;;49;;;;;;;;;;;;;;;
118;Hamm I;114355;73043;908;760;72135;72283;32460;28036;24085;22052;2485;3123;4521;6737;1024;634;3001;3144;;377;;345;;236;;178;;17;;55;;86;;561;;153;4559;5911;;32;;31;;43;;16;;23;;83;;64;;52;;44;;41;;8;;70;;16;;42;;73;;;;;;;;;;;;;;;
119;Soest I;116158;77353;952;800;76401;76553;24458;24192;32325;27276;3850;4075;7018;9664;1048;642;3433;3150;;251;;350;;208;;57;;20;;90;;82;;450;;56;4269;5340;;57;;41;;55;;15;;30;;25;;50;;67;;52;;26;;9;;69;;18;;52;;84;;;;;;;;;;;;;;;
120;Soest II;116169;74450;883;839;73567;73611;25602;23311;29163;26649;3247;3611;7586;9307;796;603;3508;3129;;201;;334;;224;;33;;14;;57;;52;;456;;37;3665;5072;;39;;43;;27;;12;;29;;12;;40;;54;;43;;18;;16;;53;;13;;48;;74;;;;;;;;;;;;;;;
121;Märkischer Kreis I;98363;60268;883;652;59385;59616;20726;19306;23415;20024;2218;2336;4278;6693;1057;568;3033;2615;;243;;260;;235;;221;;17;;57;;70;;568;;124;4658;5809;;55;;26;;37;;14;;19;;22;;37;;40;;27;;32;;3;;50;;19;;39;;50;;;;;;;;;;;;;;;
122;Märkischer Kreis II;102281;63626;866;662;62760;62964;20510;19150;27139;23496;1943;2472;5824;7832;1042;503;2323;2105;;265;;294;;291;;140;;14;;40;;64;;463;;93;3979;5265;;42;;26;;33;;7;;21;;17;;55;;49;;27;;36;;10;;38;;10;;33;;73;;;;;;;;;;;;;;;
123;Märkischer Kreis III;104290;63159;862;656;62297;62503;24064;20871;22726;20511;1726;2742;5598;7732;699;460;2590;2633;;283;;230;;232;;176;;14;495;290;;86;;482;;90;4255;5104;;106;;37;;26;;16;;18;;20;;58;;48;;36;;28;;11;;51;;10;;40;;62;;;;;;;144;;;;;;;;
124;Hochsauerlandkreis I;104727;69037;836;694;68201;68343;18935;18787;33237;29474;3445;2869;5669;8652;958;604;2064;2085;;186;;317;;242;;34;;19;175;98;;67;;394;;85;3718;3962;;20;;20;;24;;6;;26;;17;;32;;52;;35;;45;;9;;49;;12;;34;;87;;;;;;;;;;;;;;;
125;Hochsauerlandkreis II;98663;65952;1221;770;64731;65182;15608;16243;36603;30878;1833;2024;5307;7525;1003;437;2494;1919;;216;;216;1456;738;;71;;13;427;114;;59;;354;;102;;3849;;19;;22;;29;;8;;28;;21;;47;;57;;24;;21;;5;;47;;18;;25;;53;;;;;;;;;;;;;;;
126;Siegen-Wittgenstein I;111853;70219;928;766;69291;69453;21907;22408;27261;22431;4779;4000;5141;7597;;531;3742;3771;;219;;490;;251;;217;;12;509;268;;81;;464;;139;5348;5850;;182;;29;;33;;38;;22;;15;;59;;52;;56;;40;;5;;57;;30;;35;;71;;;;;;;604;;;;;;;;
127;Siegen-Wittgenstein II;101133;68305;863;692;67442;67613;22648;22508;29111;24340;2914;2946;5358;7498;;378;2304;2361;;271;;336;;215;;73;;13;341;175;;72;;409;;82;4766;5396;;129;;22;;28;;12;;12;;10;;65;;38;;51;;15;;7;;40;;23;;39;;49;;;;;;;;;;;;;;;
128;Olpe;102799;68351;712;688;67639;67663;16581;16133;37018;33438;2854;2201;5479;8434;862;507;1608;1620;;268;;246;;226;;53;;16;392;193;;67;;302;;56;2845;3577;;13;;23;;20;;9;;14;;23;;38;;31;;34;;9;;2;;32;;4;;28;;46;;;;;;;;;;;;;;;
