Wahlkreisnr.;Wahlkreisname;Wahlberechtigte insgesamt;Wähler/-innen insgesamt;Ungültige Stimmen Erststimmen;Ungültige Stimmen Zweitstimmen;Gültige Stimmen Erststimmen;Gültige Stimmen Zweitstimmen;SPD Erststimmen;SPD Zweitstimmen;CDU Erststimmen;CDU Zweitstimmen;GRÜNE Erststimmen;GRÜNE Zweitstimmen;FDP Erststimmen;FDP Zweitstimmen;PIRATEN Erststimmen;PIRATEN Zweitstimmen;DIE LINKE Erststimmen;DIE LINKE Zweitstimmen;NPD Erststimmen;NPD Zweitstimmen;Die PARTEI Erststimmen;Die PARTEI Zweitstimmen;FREIE WÄHLER Erststimmen;FREIE WÄHLER Zweitstimmen;BIG Erststimmen;BIG Zweitstimmen;FBI/FWG Erststimmen;FBI/FWG Zweitstimmen;ÖDP Erststimmen;ÖDP Zweitstimmen;Volksabstimmung Erststimmen;Volksabstimmung Zweitstimmen;TIERSCHUTZliste Erststimmen;TIERSCHUTZliste Zweitstimmen;AD-Demokraten NRW Erststimmen;AD-Demokraten NRW Zweitstimmen;AfD Erststimmen;AfD Zweitstimmen;AUFBRUCH C Erststimmen;AUFBRUCH C Zweitstimmen;BGE Erststimmen;BGE Zweitstimmen;DBD Erststimmen;DBD Zweitstimmen;DKP Erststimmen;DKP Zweitstimmen;ZENTRUM Erststimmen;ZENTRUM Zweitstimmen;DIE RECHTE Erststimmen;DIE RECHTE Zweitstimmen;REP Erststimmen;REP Zweitstimmen;DIE VIOLETTEN Erststimmen;DIE VIOLETTEN Zweitstimmen;JED Erststimmen;JED Zweitstimmen;MLPD Erststimmen;MLPD Zweitstimmen;PAN Erststimmen;PAN Zweitstimmen;Gesundheitsforschung Erststimmen;Gesundheitsforschung Zweitstimmen;PARTEILOSE WG „BRD“ Erststimmen;PARTEILOSE WG „BRD“ Zweitstimmen;Schöner Leben Erststimmen;Schöner Leben Zweitstimmen;V-Partei³ Erststimmen;V-Partei³ Zweitstimmen;FAMILIE Erststimmen;FAMILIE Zweitstimmen;LD Erststimmen;LD Zweitstimmen;LKR Erststimmen;LKR Zweitstimmen;Einzelbewerber/-in 1 Erststimmen;Einzelbewerber/-in 1 Zweitstimmen;Einzelbewerber/-in 2 Erststimmen;Einzelbewerber/-in 2 Zweitstimmen;Einzelbewerber/-innen Erststimmen;Einzelbewerber/-innen Zweitstimmen;Sonstige Erststimmen;Sonstige Zweitstimmen
012;Düren II – Euskirchen II;122133;76457;1289;1090;75168;75367;22715;22082;33038;28118;3855;4004;6546;9119;1112;713;3087;2985;;285;;303;;210;;71;;11;;81;;97;;634;;72;4815;5903;;89;;43;;44;;14;;25;;20;;33;;66;;70;;33;;20;;64;;24;;57;;77;;;;;;;;;;;;;;;
013;Köln I;125711;87271;574;485;86697;86786;24818;22350;29691;23114;10599;11442;8117;14067;902;882;6050;7587;;83;2995;1225;;337;;168;;27;;181;;49;;437;;55;3411;3993;;31;;110;;42;114;50;;17;;6;;30;;80;;72;;85;;6;;29;;8;;66;;157;;;;;;;;;;;;;;;
014;Köln II;113430;85064;489;412;84575;84652;24544;20138;31308;26078;9090;10778;9222;15615;783;707;5744;5661;;49;1178;785;;274;;52;;15;;180;;58;;405;;39;2706;3161;;53;;91;;36;;16;;17;;3;;26;;72;;52;;58;;4;;26;;6;;46;;151;;;;;;;;;;;;;;;
015;Köln III;106635;70080;630;510;69450;69570;22814;20640;15058;13653;12337;11532;5249;7354;1206;921;6827;8397;;93;1729;1245;;274;;273;;26;;165;;69;;468;;201;3162;3545;;33;;117;;30;;22;;12;;12;;29;;72;;56;;89;;8;;31;;9;;72;;122;;;;;;;1068;;;;;;;;
016;Köln IV;96453;57454;699;636;56755;56818;19472;17346;19410;16688;3802;4533;4709;6932;688;560;3426;3745;;142;869;558;;175;;281;;12;;94;;56;;416;;161;4149;4671;;41;;49;;25;;5;;22;;12;;35;;47;;36;;35;;9;;28;;4;;42;;58;;;;;;;230;;;;;;;;
017;Köln V;99720;62184;685;622;61499;61562;21841;18257;22218;19188;3414;4359;4457;7976;733;577;3086;3333;;166;;508;;279;;159;;25;374;213;;67;;517;;167;4646;5165;;41;;51;;42;;21;;21;;9;;49;;53;;42;;77;;12;;35;;27;;60;;66;;;;;;;730;;;;;;;;
018;Köln VI;92371;55456;585;444;54871;55012;17600;15734;14519;12288;7062;7376;4881;6767;776;616;5435;5959;;108;1397;1008;;188;;254;;18;;120;;41;;386;;157;3201;3334;;36;;115;;32;;34;;15;;14;;21;;60;;59;;90;;8;;25;;4;;56;;89;;;;;;;;;;;;;;;
019;Köln VII;95509;56339;639;487;55700;55852;21312;17723;14775;13859;4582;5506;4543;6191;930;709;4284;4828;;149;1260;861;;241;;234;;17;;120;;52;;426;;189;3763;4100;;39;;65;;43;152;47;;11;;21;;42;;60;;45;;99;;8;;31;;10;;32;;94;;;99;;;;;;;;;;;;
020;Leverkusen;116370;74268;983;905;73285;73363;24711;22775;26416;23063;3845;4482;6312;9389;1056;812;3072;3433;;282;1046;740;;405;;144;;45;;101;;88;;544;;111;5227;6109;;54;;44;;50;;18;;23;;35;;67;;65;;82;;104;;8;;87;;24;;66;;113;;;;;;;1600;;;;;;;;
021;Rheinisch-Bergischer Kreis I;105306;75291;697;553;74594;74738;22953;19568;30547;25640;5050;6414;7445;12365;;539;3312;3272;;116;;411;1152;443;;79;;19;;138;;65;;432;;67;4135;4625;;33;;37;;31;;18;;12;;15;;28;;68;;63;;49;;9;;47;;7;;39;;89;;;;;;;;;;;;;;;
